"objeto","tipo","operacion","archivo","linea","estado","evidencia"
"documentos_c","tabla","INSERT INTO","factory/Mapper.php","8214","detectado","INSERT INTO documentos_c"
"documentos_c","tabla","INSERT INTO","factory/Mapper.php","10194","detectado","INSERT INTO documentos_c"
"documentos_c","tabla","INSERT INTO","factory/Mapper.php","10322","detectado","INSERT INTO documentos_c"
"documentos_d","tabla","DELETE FROM","factory/Mapper.php","7115","detectado","DELETE FROM documentos_d"
"documentos_d","tabla","INSERT INTO","factory/Mapper.php","7069","detectado","INSERT INTO documentos_d"
"documentos_h","tabla","DELETE FROM","factory/Mapper.php","7044","detectado","DELETE FROM documentos_h"
"documentos_h","tabla","FROM","factory/Mapper.php","7047","detectado","FROM documentos_h"
"documentos_h","tabla","INSERT INTO","factory/Mapper.php","7013","detectado","INSERT INTO documentos_h"
"ecommerce_coupons","tabla","FROM","factory/Mapper.php","7504","detectado","FROM ecommerce_coupons"
"ecommerce_coupons","tabla","INSERT INTO","factory/Mapper.php","7463","detectado","INSERT INTO ecommerce_coupons"
"ecommerce_customers","tabla","FROM","factory/Mapper.php","7570","detectado","FROM ecommerce_customers"
"ecommerce_customers","tabla","INSERT INTO","factory/Mapper.php","7521","detectado","INSERT INTO ecommerce_customers"
"ecommerce_deliverys","tabla","FROM","factory/Mapper.php","7626","detectado","FROM ecommerce_deliverys"
"ecommerce_deliverys","tabla","INSERT INTO","factory/Mapper.php","7587","detectado","INSERT INTO ecommerce_deliverys"
"ecommerce_order_details","tabla","FROM","factory/Mapper.php","7747","detectado","FROM ecommerce_order_details"
"ecommerce_order_details","tabla","INSERT INTO","factory/Mapper.php","7714","detectado","INSERT INTO ecommerce_order_details"
"ecommerce_order_status","tabla","FROM","factory/Mapper.php","7802","detectado","FROM ecommerce_order_status"
"ecommerce_order_status","tabla","INSERT INTO","factory/Mapper.php","7764","detectado","INSERT INTO ecommerce_order_status"
"ecommerce_orders","tabla","FROM","factory/Mapper.php","7697","detectado","FROM ecommerce_orders"
